
species,length,width,height,weight
dog,20,10,8,15
dog,25,12,9,20
dog,22,11,8,18
dog,24,13,9,21
dog,26,14,10,23
dog,27,13,11,24
dog,29,15,12,26
dog,23,12,9,19
dog,30,16,12,28
dog,21,11,8,17
cat,18,8,7,10
cat,16,7,6,8
cat,19,8,7,11
cat,17,8,6,9
cat,18,9,7,10
cat,15,7,6,7
cat,20,9,8,12
cat,17,8,7,9
cat,19,9,7,11
cat,16,7,6,8
horse,28,14,12,30
horse,30,16,14,35
horse,32,17,15,38
horse,34,18,16,42
horse,29,15,13,33
horse,33,17,14,40
horse,35,19,16,43
horse,36,20,17,45
horse,31,16,14,36
horse,32,17,15,37
rabbit,12,6,5,4
rabbit,14,7,6,6
rabbit,13,6,5,5
rabbit,11,5,4,3
rabbit,15,7,6,6
rabbit,16,8,7,7
rabbit,12,6,5,4
rabbit,14,7,6,6
rabbit,13,6,5,5
rabbit,11,5,4,3
cow,40,20,18,50
cow,42,21,19,52
cow,41,20,18,51
cow,43,22,20,54
cow,45,23,21,57
cow,46,24,22,60
cow,44,22,20,55
cow,47,24,22,62
cow,48,25,23,64
cow,49,26,24,66
dog,26,14,11,24
dog,28,15,12,26
dog,27,14,11,25
dog,25,13,10,22
dog,29,16,12,28
dog,30,16,13,29
dog,31,17,14,30
dog,22,12,9,19
dog,24,13,10,21
dog,26,14,11,24
cat,19,9,8,11
cat,17,8,7,9
cat,18,9,7,10
cat,16,8,6,8
cat,15,7,6,7
cat,20,10,9,13
cat,18,9,8,11
cat,17,8,7,9
cat,19,9,8,12
cat,16,8,7,9
horse,33,17,15,39
horse,35,18,16,42
horse,32,17,14,37
horse,31,16,13,35
horse,34,18,15,40
horse,36,19,17,43
horse,30,16,14,35
horse,37,20,18,46
horse,38,21,19,48
horse,39,22,19,50
rabbit,12,6,5,4
rabbit,13,7,6,5
rabbit,14,7,6,6
rabbit,15,8,7,7
rabbit,11,6,5,4
rabbit,13,7,6,5
rabbit,14,8,7,6
rabbit,12,6,5,4
rabbit,11,5,4,3
rabbit,13,7,6,5
cow,42,21,19,53
cow,44,22,20,55
cow,43,22,19,54
cow,41,20,18,52
cow,46,23,21,58
cow,45,23,21,57
cow,47,24,22,60
cow,49,25,23,65
cow,48,24,22,63
cow,50,26,24,67
