
User_ID,Source,Email_Open,Purchase,Churn
1,Google,1,1,0
2,Facebook,1,0,1
3,Google,0,0,1
4,Unknown,1,1,0
5,Instagram,0,0,1
6,Google,1,0,1
7,Facebook,0,1,0
8,Instagram,1,1,0
9,Google,0,0,1
10,Unknown,1,1,0
11,Instagram,1,0,1
12,Google,1,1,0
13,Facebook,0,0,1
14,Unknown,0,0,1
15,Instagram,1,0,1
16,Google,0,0,1
17,Facebook,1,1,0
18,Instagram,1,1,0
19,Unknown,0,1,0
20,Google,1,0,1
21,Facebook,1,1,0
22,Instagram,0,0,1
23,Google,1,1,0
24,Unknown,1,0,1
25,Facebook,0,0,1
26,Google,1,1,0
27,Instagram,0,1,0
28,Facebook,1,0,1
29,Google,0,0,1
30,Unknown,1,1,0
31,Instagram,1,1,0
32,Facebook,0,0,1
33,Google,1,0,1
34,Unknown,0,1,0
35,Instagram,1,0,1
36,Google,0,1,0
37,Facebook,1,1,0
38,Instagram,0,0,1
39,Google,1,0,1
40,Unknown,1,1,0
41,Facebook,0,0,1
42,Google,1,1,0
43,Instagram,1,0,1
44,Unknown,0,0,1
45,Facebook,1,1,0
46,Google,0,0,1
47,Instagram,1,1,0
48,Facebook,1,0,1
49,Unknown,1,1,0
50,Google,0,0,1
