
user_id,action,price,timestamp
1,click,120,2024-09-01 08:15:24
2,search,110,2024-09-01 09:32:10
3,click,130,2024-09-01 10:05:45
4,search,125,2024-09-01 11:18:33
5,click,115,2024-09-01 13:24:10
6,click,140,2024-09-01 14:12:09
7,search,120,2024-09-01 15:55:02
8,click,150,2024-09-01 16:45:50
9,search,130,2024-09-01 17:32:17
10,click,125,2024-09-01 18:10:34
11,search,135,2024-09-01 19:00:21
12,click,145,2024-09-01 20:12:15
13,search,140,2024-09-01 21:30:48
14,click,150,2024-09-01 22:45:32
15,search,155,2024-09-01 23:05:17
16,click,135,2024-09-02 00:15:44
17,search,120,2024-09-02 01:45:19
18,click,115,2024-09-02 02:32:55
19,click,110,2024-09-02 03:50:17
20,search,140,2024-09-02 05:10:34
